id,kode_gudang,nama_gudang,tipe_gudang,id_wilker,id_prov,id_kabkot,lat,long,active
,,Gudang Prasarana Perkeretaapian Payakabung,Gudang Utama,,,,,,1
,,Gudang Prasarana Perkeretaapian Jatibarang,Gudang Utama,,,,,,1
,,Gudang Prasarana Perkeretaapian Pekalongan,Gudang Utama,,,,,,1
,,Gudang Prasarana Perkeretaapian Kroya,Gudang Utama,,,,,,1
,,Gudang Prasarana Perkeretaapian Bangil,Gudang Utama,,,,,,1
,,Gudang Kereta Api Barru,Gudang Utama,,,,,,1
,,Tempat Penumpukan Payakabung,Gudang Sewa,,,,,,1
,,Gudang KIM III (Kawasan Industri Medan III),Gudang Sewa,,,,,,1
,,Tempat Penumpukan Genuk,Gudang Sewa,,,,,,1
,,Tempat Penumpukan Besitang,Gudang Sewa,,,,,,1
