id,nama_stasiun,wilayah_operasi,kecamatan,zona,x,y,z,lat,long
,Stasiun Jakarta Kota (JAKK),DAOP 1 JAKARTA,Taman Sari,48S/48M,700800 m E,9321250 m S,4 m,-6.188,"106,815"
,Stasiun Jayakarta (JYK),DAOP 1 JAKARTA,Sawah Besar,48S/48M,701750 m E,9320800 m S,13 m,-6.142,"106,823"
,Stasiun Mangga Besar (MGB),DAOP 1 JAKARTA,Taman Sari,48S/48M,702180 m E,9319900 m S,14 m,-6.15,"106,827"
,Stasiun Sawah Besar (SW),DAOP 1 JAKARTA,Taman Sari,48S/48M,702250 m E,9318650 m S,15 m,-6.161,"106,828"
,Stasiun Juanda (JUA),DAOP 1 JAKARTA,Sawah Besar,48S/48M,792550 m E,9318050 m S,15 m,-6.166,106.83
,Stasiun Gambir (GMR),DAOP 1 JAKARTA,Gambir,48S/48M,702550 m E,9316950 m S,16 m,-6.176,"106,831"
,Stasiun Gondangdia (GDD),DAOP 1 JAKARTA,Menteng,48S/48M,702780 m E,9315850 m S,15 m,-6.186,"106,833"
,Stasiun Cikini (CK),DAOP 1 JAKARTA,Menteng,48S/48M,703700 m E,9314530 m S,20 m,-6.198,"106,841"
,Stasiun Tangerang (TNG),DAOP 1 JAKARTA,Tangerang,48S/48M,680650 m E,9316950 m S,18 m,-6.177,"106,633"
,Stasiun Tanah Tinggi (TTI),DAOP 1 JAKARTA,Tangerang,48S/48M,682070 m E,9317120 m S,14 m,-6.175,"106,645"
,Stasiun Bandara Soekarno-Hatta (BST),DAOP 1 JAKARTA,Benda,48S/48M,682850 m E,9322450 m S,12 m,-6.127,"106,652"
,Stasiun Batuceper (BPR),DAOP 1 JAKARTA,Cipondoh,48S/48M,684160 m E,9317470 m S,10 m,-6.172,"106,664"
,Stasiun Poris (PI),DAOP 1 JAKARTA,Cipondoh,48S/48M,685900 m E,9317720 m S,11 m,-6.17,106.68
,Stasiun Kalideres (KDS),DAOP 1 JAKARTA,Panjaringan,48S/48M,688520 m E,9318140 m S,7 m,-6.166,"106,704"
,Stasiun Rawa Buaya (RW),DAOP 1 JAKARTA,Cengkareng,48S/48M,690720 m E,9318500 m S,6 m,-6.163,"106,724"
,Stasiun Bojong Indah (BO,DAOP 1 JAKARTA,Cengkareng,48S/48M,692120 m E,9318770 m S,16 m,-6.167,"106,736"
,Stasiun Taman Kota (TKO),DAOP 1 JAKARTA,Kembangan,48S/48M,694320 m E,9318950 m S,12 m,-6.189,"106,756"
,Stasiun Pesing (PSG),DAOP 1 JAKARTA,Grogoll,48S/48M,696020 m E,9318650 m S,5 m,-6.161,"106,771"
,Stasiun Grogol (GGL),DAOP 1 JAKARTA,Grog,48S/48M,698000 m E,9318550 m S,20 m,-6.162,"106,789"
,Stasiun Ancol (AC),DAOP 1 JAKARTA,Pademangan,48S/48M,704180 m E,9322290 m S,3 m,-6.128,"106,845"
,Stasiun Tanjung Priok (TPK) oe,DAOP 1 JAKARTA,Tanjung priok,48S/48M,708170 m E,9324150 m S,4 m,-6.111,"106,881"
,Stasiun Kampung Bandan (KPB),DAOP 1 JAKARTA,Pademangan,48S/48M,702360 m E,9321830 m S,3 m,-6.132,"106,829"
,Stasiun Angke (AK),DAOP 1 JAKARTA,Tambora,48S/48M,699270 m E,9320480 m S,3 m,-6.145,"106,801"
,Stasiun Duri (DU),DAOP 1 JAKARTA,Tambora,48S/48M,699320 m E,9319300 m S,4 m,-6.155,"106,801"
,Stasiun Rajawali (RJW),DAOP 1 JAKARTA,Pademangan,48S/48M,703250 m E,9320420 m S,4 m,-6.145,"106,837"
,Stasiun Kemayoran (KMO),DAOP 1 JAKARTA,Kemayoran,48S/48M,703760 m E,9318550 m S,4 m,-6.162,"106,841"
,Stasiun Pasar Senen (PSE),DAOP 1 JAKARTA,Senen,48S/48M,704080 m E,9317120 m S,4.7 m,-6.175,"106,844"
,Stasiun Gang Sentiang (GST),DAOP 1 JAKARTA,Senen,48S/48M,704780 m E,9315870 m S,7 m,-6.186,"106,851"
,Stasiun Kramat (KMT),DAOP 1 JAKARTA,Senen,48S/48M,705420 m E,9315020 m S,10 m,-6.194,"106,857"
,Stasiun Pondok Jati (POK),DAOP 1 JAKARTA,Matraman,48S/48M,706050 m E,9313320 m S,14 m,-6.209,"106,862"
,Stasiun Jatinegara (JNG),DAOP 1 JAKARTA,Matraman,48S/48M,706950 m E,9312650 m S,16 m,-6.215,106.87
,Stasiun Cipinang (CPN),DAOP 1 JAKARTA,Pulo gadung,48S/48M,708580 m E,9312750 m S,14 m,-6.214,"106,885"
,Stasiun Klender (KLD),DAOP 1 JAKARTA,Pulo gadung,48S/48M,710150 m E,9312830 m S,10 m,-6.213,"108,899"
,Stasiun Buaran (BUA) si,DAOP 1 JAKARTA,Cakung,48S/48M,712680 m E,9312680 m S,4 m,-6.216,"106,922"
,Stasiun Klender Baru (KLDB),DAOP 1 JAKARTA,Cakung,48S/48M,714650 m E,9312350 m S,11 m,-6.218,106.94
,Stasiun Cakung (CUK),DAOP 1 JAKARTA,Cakung,48S/48M,716000 m E,9312150 m S,4 m,-6.219,"106,952"
,Stasiun Kranji (KRI),DAOP 1 JAKARTA,Bekasi Barat,48S/48M,719050 m E,9311550 m S,18 m,-6.225,106.98
,Stasiun Tanah Abang (THB),DAOP 1 JAKARTA,Tanah Abang,48S/48M,700360 m E,9315920 m S,9 m,-6.186,106.8117
,Stasiun Palmerah (PLM),DAOP 1 JAKARTA,Tanah Abang,48S/48M,698870 m E,9313550 m S,413 m,-6.207,"106,797"
,Stasiun Kebayoran (KBY),DAOP 1 JAKARTA,Kebayoran Lama,48S/48M,697220 m E,9310250 m S,"4,2 m",-6.237,"106,783"
,Stasiun Karet (KAT),DAOP 1 JAKARTA,Tanah Abang,48S/48M,700820 m E,9314250 m S,11 m,-6.201,"106,816"
,Stasiun Sudi rman Baru (SDB),DAOP 1 JAKARTA,Tanah Abang,48S/48M,701350 m E,9314150 m S,9 m,-6.202,106.82
,Stasiun Sudiman (SUD),DAOP 1 JAKARTA,Menteng,48S/48M,701750 m E,9314070 m S,"5,65 m",-6.202,"106,823"
,Stasiun Manggarai (MRI),DAOP 1 JAKARTA,Tebet,48S/48M,704720 m E,9313180 m S,43 m,-6.21,106.85
,Stasiun Tebet (TEB),DAOP 1 JAKARTA,Tebet,48S/48M,705600 m E,9311450 m S,4 m,-6.226,"106,858"
,Stasiun Cawang (CW),DAOP 1 JAKARTA,Tebet,48S/48M,705650 m E,9309600 m S,26 m,-6.243,"106,859"
,Stasiun Duren Kalibata (DRN),DAOP 1 JAKARTA,Pancoran ae,48S/48M,705220 m E,9308200 m S,26 m,-6.255,"106,855"
,Stasiun Pasar Minggu Baru (PSMB),DAOP 1 JAKARTA,Pancoran,48S/48M,704870 m E,9307380 m S,29 m,-6.263,"106,852"
,Stasiun Pasar Minggu (PSM),DAOP 1 JAKARTA,Pasar Minggu,48S/48M,704050 m E,9305000 m S,36 m,-6.284,"106,844"
,Stasiun Tanjung Barat (TNT),DAOP 1 JAKARTA,Jagakarsa,48S/48M,703420 m E,9302400 m S,44 m,-6.308,106.8397
,Stasiun Lenteng Agung (LNA),DAOP 1 JAKARTA,Jagakarsa,48S/48M,702970 m E,9299900 m S,57 m,-6.331,107
,Stasiun Universitas Pancasila (UP),DAOP 1 JAKARTA,Jagakarsa,48S/48M,702920 m E,9299000 m S,57 m,-6.339,"106,834"
,Stasiun Universitas Indonesia (Ul),DAOP 1 JAKARTA,Beji,48S/48M,702610 m E,9296550 m S,69 m,-6.361,"106,832"
